Timestamp,IFPL  Messages  (average)
2017-08-12  07:38:19.384,9
2017-08-12  07:43:19.386,8
2017-08-12  07:48:19.389,12
2017-08-12  07:53:19.391,6
2017-08-12  07:58:19.392,10
2017-08-12  08:03:19.395,12
2017-08-12  08:08:19.396,9
2017-08-12  08:13:19.399,10
2017-08-12  08:18:19.434,12
2017-08-12  08:23:19.403,10
2017-08-12  08:28:19.405,8
2017-08-12  08:33:19.407,11
2017-08-12  08:38:19.409,8
2017-08-12  08:43:19.412,10
2017-08-12  08:48:19.447,10
2017-08-12  08:53:19.416,10
2017-08-12  08:58:19.419,9
2017-08-12  09:03:19.420,12
2017-08-12  09:08:19.422,8
2017-08-12  09:13:19.424,11
2017-08-12  09:18:19.458,10
2017-08-12  09:23:19.464,8
2017-08-12  09:28:19.465,9
2017-08-12  09:33:19.433,12
2017-08-12  09:38:19.436,10
2017-08-12  09:43:19.438,9
2017-08-12  09:48:19.477,9
2017-08-12  09:53:19.442,11
2017-08-12  09:58:19.443,9
2017-08-12  10:03:19.446,11
2017-08-12  10:08:19.447,8
2017-08-12  10:13:19.450,8
2017-08-12  10:18:19.452,13
2017-08-12  10:23:19.454,5
2017-08-12  10:28:19.492,16
2017-08-12  10:33:19.492,7
2017-08-12  10:38:19.460,14
2017-08-12  10:43:19.462,7
2017-08-12  10:48:19.464,7
2017-08-12  10:53:19.465,9
2017-08-12  10:58:19.467,9
2017-08-12  11:03:19.504,11
2017-08-12  11:08:19.471,6
2017-08-12  11:13:19.472,16
2017-08-12  11:18:19.474,8
2017-08-12  11:23:19.477,13
2017-08-12  11:28:19.479,9
2017-08-12  11:33:19.480,9
2017-08-12  11:38:19.515,7
2017-08-12  11:43:19.520,9
2017-08-12  11:48:19.486,10
2017-08-12  11:53:19.489,9
2017-08-12  11:58:19.491,12
2017-08-12  12:03:19.492,10
2017-08-12  12:08:19.494,9
2017-08-12  12:13:19.526,13
2017-08-12  12:18:19.499,8
2017-08-12  12:23:19.501,6
2017-08-12  12:28:19.502,9
2017-08-12  12:33:19.504,10
2017-08-12  12:38:19.539,7
2017-08-12  12:43:19.544,8
2017-08-12  12:48:19.511,16
2017-08-12  12:53:19.514,6
2017-08-12  12:58:19.564,11
2017-08-12  13:03:19.550,11
2017-08-12  13:08:19.520,12
2017-08-12  13:13:19.554,8
2017-08-12  13:18:19.523,8
2017-08-12  13:23:19.547,9
2017-08-12  13:28:19.536,12
2017-08-12  13:33:19.552,8
2017-08-12  13:38:19.590,7
2017-08-12  13:43:19.554,13
2017-08-12  13:48:19.603,10
2017-08-12  13:53:19.587,7
2017-08-12  13:58:19.646,14
2017-08-12  14:03:19.674,5
2017-08-12  14:08:19.622,10
2017-08-12  14:13:19.590,12
2017-08-12  14:18:19.592,8
2017-08-12  14:23:19.649,9
2017-08-12  14:28:19.691,11
2017-08-12  14:33:19.624,7
2017-08-12  14:38:19.693,12
2017-08-12  14:43:19.697,11
2017-08-12  14:48:19.658,8
2017-08-12  14:53:19.657,6
2017-08-12  14:58:19.710,14
2017-08-12  15:03:19.753,9
2017-08-12  15:08:19.684,7
2017-08-12  15:13:19.714,9
2017-08-12  15:18:19.697,11
2017-08-12  15:23:19.740,18
2017-08-12  15:28:19.745,14
2017-08-12  15:33:19.720,20
2017-08-12  15:38:19.751,6
2017-08-12  15:43:19.756,13
2017-08-12  15:48:19.698,8
2017-08-12  15:53:19.776,9
2017-08-12  15:58:19.759,9
2017-08-12  16:03:19.804,12
2017-08-12  16:08:19.814,10
2017-08-12  16:13:19.796,9
2017-08-12  16:18:19.787,13
2017-08-12  16:23:19.793,4
2017-08-12  16:28:19.789,13
2017-08-12  16:33:19.912,10
2017-08-12  16:38:19.820,10
2017-08-12  16:43:19.886,10
2017-08-12  16:48:19.603,12
2017-08-12  16:53:19.606,9
2017-08-12  16:58:19.609,10
2017-08-12  17:03:19.611,13
2017-08-12  17:08:19.613,7
2017-08-12  17:13:19.615,11
2017-08-12  17:18:19.616,7
2017-08-12  17:23:19.619,10
2017-08-12  17:28:19.620,10
2017-08-12  17:33:19.622,13
2017-08-12  17:38:19.624,7
2017-08-12  17:43:19.626,14
2017-08-12  17:48:19.629,12
2017-08-12  17:53:19.630,5
2017-08-12  17:58:19.633,14
2017-08-12  18:03:19.635,8
2017-08-12  18:08:19.637,11
2017-08-12  18:13:19.639,8
2017-08-12  18:18:19.641,11
2017-08-12  18:23:19.643,9
2017-08-12  18:28:19.645,10
2017-08-12  18:33:19.648,13
2017-08-12  18:38:19.649,5
2017-08-12  18:43:19.652,13
2017-08-12  18:48:19.654,8
2017-08-12  18:53:19.656,9
2017-08-12  18:58:19.660,8
2017-08-12  19:03:19.661,15
2017-08-12  19:08:19.662,5
2017-08-12  19:13:19.663,11
2017-08-12  19:18:19.701,15
2017-08-12  19:23:19.668,5
2017-08-12  19:28:19.670,9
2017-08-12  19:33:19.672,12
2017-08-12  19:38:19.674,8
2017-08-12  19:43:19.676,9
2017-08-12  19:48:19.678,13
2017-08-12  19:53:19.680,7
2017-08-12  19:58:19.717,10
2017-08-12  20:03:19.685,14
2017-08-12  20:08:19.723,7
2017-08-12  20:13:19.689,8
2017-08-12  20:18:19.691,11
2017-08-12  20:23:19.693,10
2017-08-12  20:28:19.695,8
2017-08-12  20:33:19.696,9
2017-08-12  20:38:19.731,11
2017-08-12  20:43:19.700,11
2017-08-12  20:48:19.702,9
2017-08-12  20:53:19.704,12
2017-08-12  20:58:19.707,6
2017-08-12  21:03:19.708,14
2017-08-12  21:08:19.711,6
2017-08-12  21:13:19.713,10
2017-08-12  21:18:19.715,10
2017-08-12  21:23:19.751,11
2017-08-12  21:28:19.719,9
2017-08-12  21:33:19.754,11
2017-08-12  21:38:19.723,12
2017-08-12  21:43:19.758,6
2017-08-12  21:48:19.726,12
2017-08-12  21:53:19.728,7
2017-08-12  21:58:19.730,11
2017-08-12  22:03:19.731,8
2017-08-12  22:08:19.734,13
2017-08-12  22:13:19.735,7
2017-08-12  22:18:19.772,10
2017-08-12  22:23:19.740,15
2017-08-12  22:28:19.776,5
2017-08-12  22:33:19.742,10
2017-08-12  22:38:19.743,11
2017-08-12  22:43:19.747,10
2017-08-12  22:48:19.781,6
2017-08-12  22:53:19.783,9
2017-08-12  22:58:19.786,13
2017-08-12  23:03:19.753,9
2017-08-12  23:08:19.755,13
2017-08-12  23:13:19.792,9
2017-08-12  23:18:19.760,7
2017-08-12  23:23:19.763,11
2017-08-12  23:28:19.764,10
2017-08-12  23:33:19.766,10
2017-08-12  23:38:19.769,8
2017-08-12  23:43:19.806,12
2017-08-12  23:48:19.773,9
2017-08-12  23:53:19.775,9
2017-08-12  23:58:19.777,13
2017-08-13  00:03:19.780,5
2017-08-13  00:08:19.781,13
2017-08-13  00:13:19.782,8
2017-08-13  00:18:19.784,9
2017-08-13  00:23:19.786,11
2017-08-13  00:28:19.820,10
2017-08-13  00:33:19.788,8
2017-08-13  00:38:19.790,11
2017-08-13  00:43:19.827,14
2017-08-13  00:48:19.829,5
2017-08-13  00:53:19.797,11
2017-08-13  00:58:19.798,8
2017-08-13  01:03:19.801,11
2017-08-13  01:08:19.801,8
2017-08-13  01:13:19.803,12
2017-08-13  01:18:19.807,8
2017-08-13  01:23:19.807,11
2017-08-13  01:28:19.809,14
2017-08-13  01:33:19.812,6
2017-08-13  01:38:19.814,9
2017-08-13  01:43:19.817,12
2017-08-13  01:48:19.819,9
2017-08-13  01:53:19.820,7
2017-08-13  01:58:19.858,8
2017-08-13  02:03:19.828,13
2017-08-13  02:08:19.862,11
2017-08-13  02:13:19.829,10
2017-08-13  02:18:19.832,11
2017-08-13  02:23:19.834,5
2017-08-13  02:28:19.835,13
2017-08-13  02:33:19.837,8
2017-08-13  02:38:19.839,11
2017-08-13  02:43:19.876,9
2017-08-13  02:48:19.875,11
2017-08-13  02:53:19.843,7
2017-08-13  02:58:19.845,9
2017-08-13  03:03:19.848,15
2017-08-13  03:08:19.850,6
2017-08-13  03:13:19.852,11
2017-08-13  03:18:19.889,9
2017-08-13  03:23:19.856,10
2017-08-13  03:28:19.858,10
2017-08-13  03:33:19.861,11
2017-08-13  03:38:19.863,7
2017-08-13  03:43:19.864,9
2017-08-13  03:48:19.903,14
2017-08-13  03:53:19.903,6
2017-08-13  03:58:19.904,10
2017-08-13  04:03:19.873,10
2017-08-13  04:08:19.875,11
2017-08-13  04:13:19.877,7
2017-08-13  04:18:19.880,11
2017-08-13  04:23:19.882,11
2017-08-13  04:28:19.884,10
2017-08-13  04:33:19.886,13
2017-08-13  04:38:19.889,7
2017-08-13  04:43:19.891,9
2017-08-13  04:48:19.925,11
2017-08-13  04:53:19.896,9
2017-08-13  04:58:19.897,9
2017-08-13  05:03:19.900,9
2017-08-13  05:08:19.901,11
2017-08-13  05:13:19.903,10
2017-08-13  05:18:19.904,9
2017-08-13  05:23:19.941,12
2017-08-13  05:28:19.907,6
2017-08-13  05:33:19.942,15
2017-08-13  05:38:19.911,6
2017-08-13  05:43:19.912,9
2017-08-13  05:48:19.914,11
2017-08-13  05:53:19.917,12
2017-08-13  05:58:19.919,5
2017-08-13  06:03:19.920,13
2017-08-13  06:08:19.923,13
2017-08-13  06:13:19.925,6
2017-08-13  06:18:19.927,11
2017-08-13  06:23:19.929,9
2017-08-13  06:28:19.964,9
2017-08-13  06:33:19.932,10
2017-08-13  06:38:19.968,9
2017-08-13  06:43:19.937,10
2017-08-13  06:48:19.939,9
2017-08-13  06:53:19.974,15
2017-08-13  06:58:19.975,5
2017-08-13  07:03:19.945,10
2017-08-13  07:08:19.981,11
2017-08-13  07:13:19.950,10
2017-08-13  07:18:19.986,7
2017-08-13  07:23:19.986,10
2017-08-13  07:28:19.956,11
2017-08-13  07:33:19.992,10
2017-08-13  07:38:19.996,12
2017-08-13  07:43:19.961,10
2017-08-13  07:48:19.963,7
2017-08-13  07:53:19.965,11
2017-08-13  07:58:20.003,9
2017-08-13  08:03:20.002,9
2017-08-13  08:08:19.971,11
2017-08-13  08:13:19.974,11
2017-08-13  08:18:19.976,9
2017-08-13  08:23:19.977,8
2017-08-13  08:28:19.980,13
2017-08-13  08:33:19.982,6
2017-08-13  08:38:19.984,14
2017-08-13  08:43:19.986,7
2017-08-13  08:48:19.988,9
2017-08-13  08:53:19.989,9
2017-08-13  08:58:19.992,11
2017-08-13  09:03:19.994,9
2017-08-13  09:08:19.996,9
2017-08-13  09:13:19.998,14
2017-08-13  09:18:19.999,7
2017-08-13  09:23:20.001,9
2017-08-13  09:28:20.004,10
2017-08-13  09:33:20.005,11
2017-08-13  09:38:20.007,8
2017-08-13  09:43:20.009,10
2017-08-13  09:48:20.012,11
2017-08-13  09:53:20.013,10
2017-08-13  09:58:20.049,11
2017-08-13  10:03:20.019,8
2017-08-13  10:08:20.019,7
2017-08-13  10:13:20.021,13
2017-08-13  10:18:20.023,9
2017-08-13  10:23:20.025,8
2017-08-13  10:28:20.061,8
2017-08-13  10:33:20.029,14
