Date,Number  of  Flights
2017-08-12  18:46:40,858
2017-08-12  18:51:40,858
2017-08-12  18:56:40,856
2017-08-12  19:01:41,860
2017-08-12  19:06:41,866
2017-08-12  19:11:41,866
2017-08-12  19:16:41,867
2017-08-12  19:21:41,868
2017-08-12  19:26:41,871
2017-08-12  19:31:41,871
2017-08-12  19:36:41,874
2017-08-12  19:41:41,874
2017-08-12  19:46:41,875
2017-08-12  19:51:41,881
2017-08-12  19:56:41,883
2017-08-12  20:01:41,884
2017-08-12  20:06:41,888
2017-08-12  20:11:41,888
2017-08-12  20:16:41,891
2017-08-12  20:21:41,891
2017-08-12  20:26:42,893
2017-08-12  20:31:42,892
2017-08-12  20:36:42,899
2017-08-12  20:41:42,906
2017-08-12  20:46:42,904
2017-08-12  20:51:42,905
2017-08-12  20:56:42,907
2017-08-12  21:01:42,909
2017-08-12  21:06:42,910
2017-08-12  21:11:42,912
2017-08-12  21:16:42,912
2017-08-12  21:21:42,915
2017-08-12  21:26:42,919
2017-08-12  21:31:42,917
2017-08-12  21:36:42,925
2017-08-12  21:41:42,922
2017-08-12  21:46:42,925
2017-08-12  21:51:43,926
2017-08-12  21:56:43,928
2017-08-12  22:01:43,926
2017-08-12  22:06:43,929
2017-08-12  22:11:43,935
2017-08-12  22:16:43,936
2017-08-12  22:21:43,940
2017-08-12  22:26:43,940
2017-08-12  22:31:43,940
2017-08-12  22:36:43,944
2017-08-12  22:41:43,944
2017-08-12  22:46:43,945
2017-08-12  22:51:43,947
2017-08-12  22:56:43,951
2017-08-12  23:01:43,955
2017-08-12  23:06:43,957
2017-08-12  23:11:43,960
2017-08-12  23:16:44,959
2017-08-12  23:21:44,963
2017-08-12  23:26:44,964
2017-08-12  23:31:44,965
2017-08-12  23:36:44,965
2017-08-12  23:41:44,972
2017-08-12  23:46:44,973
2017-08-12  23:51:44,973
2017-08-12  23:56:44,976
2017-08-13  0:01:44,977
2017-08-13  0:06:44,983
2017-08-13  0:11:44,983
2017-08-13  0:16:44,983
2017-08-13  0:21:44,983
2017-08-13  0:26:44,987
2017-08-13  0:31:44,990
2017-08-13  0:36:44,992
2017-08-13  0:41:45,994
2017-08-13  0:46:45,994
2017-08-13  0:51:45,1000
2017-08-13  0:56:45,1002
2017-08-13  1:01:45,1000
2017-08-13  1:06:45,1001
2017-08-13  1:11:45,1004
2017-08-13  1:16:45,1010
2017-08-13  1:21:45,1008
2017-08-13  1:26:45,1013
2017-08-13  1:31:45,1014
2017-08-13  1:36:45,1015
2017-08-13  1:41:45,1017
2017-08-13  1:46:45,1018
2017-08-13  1:51:45,1017
2017-08-13  1:56:45,1020
2017-08-13  2:01:45,1027
2017-08-13  2:06:46,1027
2017-08-13  2:11:46,1028
2017-08-13  2:16:46,1030
2017-08-13  2:21:46,1032
2017-08-13  2:26:46,1036
2017-08-13  2:31:46,1035
2017-08-13  2:36:46,1036
2017-08-13  2:41:46,1038
2017-08-13  2:46:46,1044
2017-08-13  2:51:46,1045
2017-08-13  2:56:46,1045
2017-08-13  3:01:46,1047
