Timestamp,UPDATE_CCDSR_ACCEPTATION_MESSAGE,UPDATE_CCDSR_REJECTION_MESSAGE,FP_UPDATE_SUBSCRIPTION_CLIENT_MESSAGES_EVENT,FP_END_OF_UPDATE_MESSAGES_EVENT
2017-08-12  13:47:26.495,17,3,16,4
2017-08-12  13:52:26.496,7,2,8,1
2017-08-12  13:57:26.497,15,1,12,4
2017-08-12  14:02:26.501,15,1,13,3
2017-08-12  14:07:26.500,14,0,13,1
2017-08-12  14:12:26.505,22,2,20,4
2017-08-12  14:17:26.503,14,1,13,2
2017-08-12  14:22:26.505,26,0,19,7
2017-08-12  14:27:26.506,15,1,12,4
2017-08-12  14:32:26.511,18,4,14,8
2017-08-12  14:37:26.509,9,0,8,1
2017-08-12  14:42:26.511,14,1,14,1
2017-08-12  14:47:26.515,17,0,13,4
2017-08-12  14:52:26.514,9,0,7,2
2017-08-12  14:57:26.515,22,3,19,6
2017-08-12  15:02:26.517,19,3,15,7
2017-08-12  15:07:26.518,17,0,17,0
2017-08-12  15:12:26.520,15,1,15,1
2017-08-12  15:17:26.521,15,1,9,7
2017-08-12  15:22:26.523,17,0,14,3
2017-08-12  15:27:26.524,9,1,9,1
2017-08-12  15:32:26.526,16,1,15,2
2017-08-12  15:37:26.530,12,2,10,4
2017-08-12  15:42:26.531,18,1,15,4
2017-08-12  15:47:26.532,15,0,11,4
2017-08-12  15:52:26.531,15,1,13,3
2017-08-12  15:57:26.533,17,1,17,1
2017-08-12  16:02:26.534,21,1,18,4
2017-08-12  16:07:26.536,15,2,13,4
2017-08-12  16:12:26.537,15,2,13,4
2017-08-12  16:17:26.539,9,2,9,2
2017-08-12  16:22:26.543,15,0,12,3
2017-08-12  16:27:26.544,16,2,15,3
2017-08-12  16:32:26.546,14,1,10,5
2017-08-12  16:37:26.544,13,1,10,4
2017-08-12  16:42:26.548,20,0,20,0
2017-08-12  16:47:26.550,21,1,19,3
2017-08-12  16:52:26.552,17,2,12,7
2017-08-12  16:57:26.551,15,4,14,5
2017-08-12  17:02:26.551,10,1,10,1
2017-08-12  17:07:26.554,13,0,11,2
2017-08-12  17:12:26.558,14,2,13,3
2017-08-12  17:17:26.556,17,0,16,1
2017-08-12  17:22:26.558,14,1,10,5
2017-08-12  17:27:26.560,20,0,18,2
2017-08-12  17:32:26.563,23,3,21,5
2017-08-12  17:37:26.562,15,0,11,4
2017-08-12  17:42:26.564,15,0,12,3
2017-08-12  17:47:26.565,10,1,10,1
2017-08-12  17:52:26.567,12,1,10,3
2017-08-12  17:57:26.568,18,1,14,5
2017-08-12  18:02:26.570,17,2,14,5
2017-08-12  18:07:26.571,13,0,13,0
2017-08-12  18:12:26.573,17,2,14,5
2017-08-12  18:17:26.574,27,2,20,9
2017-08-12  18:22:26.576,18,0,13,5
2017-08-12  18:27:26.579,13,1,10,4
2017-08-12  18:32:26.581,18,2,16,4
2017-08-12  18:37:26.582,10,0,9,1
2017-08-12  18:42:26.581,19,0,15,4
2017-08-12  18:47:26.587,13,0,11,2
2017-08-12  18:52:26.586,15,1,15,1
2017-08-12  18:57:26.585,14,2,12,4
2017-08-12  19:02:26.587,20,2,16,6
