Timestamp,IFPL  Messages
2017-08-12  07:38:19.384,898
2017-08-12  07:43:19.386,906
2017-08-12  07:48:19.389,918
2017-08-12  07:53:19.391,924
2017-08-12  07:58:19.392,934
2017-08-12  08:03:19.395,946
2017-08-12  08:08:19.396,955
2017-08-12  08:13:19.399,965
2017-08-12  08:18:19.434,977
2017-08-12  08:23:19.403,987
2017-08-12  08:28:19.405,995
2017-08-12  08:33:19.407,1006
2017-08-12  08:38:19.409,1014
2017-08-12  08:43:19.412,1024
2017-08-12  08:48:19.447,1034
2017-08-12  08:53:19.416,1044
2017-08-12  08:58:19.419,1053
2017-08-12  09:03:19.420,1065
2017-08-12  09:08:19.422,1073
2017-08-12  09:13:19.424,1084
2017-08-12  09:18:19.458,1094
2017-08-12  09:23:19.464,1102
2017-08-12  09:28:19.465,1111
2017-08-12  09:33:19.433,1123
2017-08-12  09:38:19.436,1133
2017-08-12  09:43:19.438,1142
2017-08-12  09:48:19.477,1151
2017-08-12  09:53:19.442,1162
2017-08-12  09:58:19.443,1171
2017-08-12  10:03:19.446,1182
2017-08-12  10:08:19.447,1190
2017-08-12  10:13:19.450,1198
2017-08-12  10:18:19.452,1211
2017-08-12  10:23:19.454,1216
2017-08-12  10:28:19.492,1232
2017-08-12  10:33:19.492,1239
2017-08-12  10:38:19.460,1253
2017-08-12  10:43:19.462,1260
2017-08-12  10:48:19.464,1267
2017-08-12  10:53:19.465,1276
2017-08-12  10:58:19.467,1285
2017-08-12  11:03:19.504,1296
2017-08-12  11:08:19.471,1302
2017-08-12  11:13:19.472,1318
2017-08-12  11:18:19.474,1326
2017-08-12  11:23:19.477,1339
2017-08-12  11:28:19.479,1348
2017-08-12  11:33:19.480,1357
2017-08-12  11:38:19.515,1364
2017-08-12  11:43:19.520,1373
2017-08-12  11:48:19.486,1383
2017-08-12  11:53:19.489,1392
2017-08-12  11:58:19.491,1404
2017-08-12  12:03:19.492,1414
2017-08-12  12:08:19.494,1423
2017-08-12  12:13:19.526,1436
2017-08-12  12:18:19.499,1444
2017-08-12  12:23:19.501,1450
2017-08-12  12:28:19.502,1459
2017-08-12  12:33:19.504,1469
2017-08-12  12:38:19.539,1476
2017-08-12  12:43:19.544,1484
2017-08-12  12:48:19.511,1500
2017-08-12  12:53:19.514,1506
2017-08-12  12:58:19.564,1517
2017-08-12  13:03:19.550,1528
2017-08-12  13:08:19.520,1540
2017-08-12  13:13:19.554,1548
2017-08-12  13:18:19.523,1556
2017-08-12  13:23:19.547,1565
2017-08-12  13:28:19.536,1577
2017-08-12  13:33:19.552,1585
2017-08-12  13:38:19.590,1592
2017-08-12  13:43:19.554,1605
2017-08-12  13:48:19.603,1615
2017-08-12  13:53:19.587,1622
2017-08-12  13:58:19.646,1636
2017-08-12  14:03:19.674,1641
2017-08-12  14:08:19.622,1651
2017-08-12  14:13:19.590,1663
2017-08-12  14:18:19.592,1671
2017-08-12  14:23:19.649,1680
2017-08-12  14:28:19.691,1691
2017-08-12  14:33:19.624,1698
2017-08-12  14:38:19.693,1710
